department,program,lib_link,year,thesis_in_that_year,thesis_link,pdf_link,data_dict
Economics,MA,https://tinyurl.com/ecoma2018,2018,52,https://sierra.ceu.edu/record=b1318696,http://www.etd.ceu.edu/2018/esendi_lynda.pdf ,"{'Author': 'Esendi, Lynda Frida', 'Title': 'Alleviating strike actions in the healthcare sector in Kenya through policy and system reforms / Lynda Frida Esendi', 'Published': 'Budapest : Central European University, 2018', 'Description': '96 p. ; 30 cm.', 'Series': 'CEU Economics Department master theses ; 2018/1', 'Language': 'English', 'Summary': 'A review of the Kenya healthcare system shows that new policies, as well as management practices, are required to solve the problems that currently plague the sector. Recently, the frequent strikes by health workers have brought to light the fact that as a country we have an inefficient system that has gone unchecked for such a long time. It also highlights that the country’s priorities are not aligned with the global development agenda where improving health is one of the key pillars. In this paper, I elaborately paint a picture of the country’s healthcare system with special focus on the increasing frequency of health worker strikes. The country’s political climate in the recent past has been tense and implementing processes geared towards change is taking longer than expected. Considering this, I highlight the problems that the country is facing focusing on the collective bargaining agreement that has long been ignored and delve deeper into how this fits into the global picture. While doing so, I discuss in detail the shortcomings of the system, the reasons for these shortcomings and what has been done so far to address the existing problems. In addition to this, the paper gives policy recommendations drawn from systems around the world. Some of the cited recommendations have been implemented in other developing countries and have proven effective.', 'Note': 'Degree: MA', 'File Type': 'PDF file (1524k)', 'Local note': 'ETD', 'Access': 'Unrestricted', 'System Det': 'System requirements: Adobe Acrobat Reader; PostScript compatible printer'}"
Economics,MA,https://tinyurl.com/ecoma2018,2018,52,https://sierra.ceu.edu/record=b1410971,http://www.etd.ceu.edu/2018/chytil_mario.pdf ,"{'Author': 'Chytil, Marió', 'Title': 'Analysis of deviations of reticuloruminal pH data of dairy cattle and development of a rumen condition scoring system / Marió Chytil', 'Published': 'Budapest : Central European University, 2018', 'Description': '12 p. ; 30 cm.', 'Series': 'CEU Economics Department master theses ; 2018/51', 'Language': 'English', 'Summary': 'My Capstone Project is aimed at describing the fluctuation of pH values with time series models, but also goes farther in two aspects: firstly I used always three models to capture patterns in the data enabling also the comparison between them through fit measures, (developed methodology offers the possibility of the inclusion of three models with parametrizable features) and secondly – due to the complexity and difficult interpretability of the results of the models – I established a simplified scoring system, which will show farm owners deviations from the established pattern(s) by means of scores characteristic for given animal.', 'Note': 'Degree: MSc', 'File Type': 'PDF file (166k)', 'Local note': 'ETD', 'Access': 'Capstone  project', 'System Det': 'Unrestricted'}"
Economics,MA,https://tinyurl.com/ecoma2018,2018,52,https://sierra.ceu.edu/record=b1410983,http://www.etd.ceu.edu/2019/ronai_dora.pdf ,"{'Author': 'R贸nai, D贸ra', 'Title': 'Asset audit and compliance in FAO  / D贸ra R贸nai', 'Published': 'Budapest : Central European University, 2018', 'Description': '10 p. ; 30 cm.', 'Series': 'CEU Economics Department master theses ; 2018/44', 'Language': 'English', 'Summary': 'Asset Audit and Compliance in FAO', 'Note': 'Degree: MSc', 'File Type': 'PDF file (566k)', 'Local note': 'ETD', 'Access': 'Capstone  project', 'System Det': 'Unrestricted'}"
Economics,MA,https://tinyurl.com/ecoma2018,2018,52,https://sierra.ceu.edu/record=b1410974,http://www.etd.ceu.edu/2018/menyhert_kristof.pdf ,"{'Author': 'Menyhért, Kristóf', 'Title': 'An attempt to optimize a questionnaire-based recommendation algorithm / Kristóf Menyhért', 'Published': 'Budapest : Central European University, 2018', 'Description': '10 p. ; 30 cm.', 'Series': 'CEU Economics Department master theses ; 2018/42', 'Language': 'English', 'Summary': 'An attempt to optimize a questionnaire-based recommendation algorithm', 'Note': 'Degree: MSc', 'File Type': 'PDF file (860k)', 'Local note': 'ETD', 'Access': 'Capstone  project', 'System Det': 'Unrestricted'}"
Economics,MA,https://tinyurl.com/ecoma2018,2018,52,https://sierra.ceu.edu/record=b1399987,http://www.etd.ceu.edu/2018/nazaruk_anna.pdf ,"{'Author': 'Nazaruk, Anna', 'Title': 'Bitcoin 2017 : was there a bubble? / Anna Nazaruk', 'Published': 'Budapest : Central European University, 2018', 'Description': '30 p. ; 30 cm.', 'Series': 'CEU Economics Department master theses ; 2018/29', 'Language': 'English', 'Summary': 'This research examines existence of Bitcoin bubble in the year of 2017 by studying time series data within four main paradigms of the modern bubble theory. All four models suggest that Bitcoin closing price was overstated during the period. The analysis also detects Bitcoin features that could lead to the behavioral bias on the cryptocurrency market. The study suggests that investorsâ€™ behavior on the crypto market should be investigated more within behavioral finance.', 'Note': 'Degree: MA', 'File Type': 'PDF file (669k)', 'Local note': 'ETD', 'Access': 'Unrestricted', 'System Det': 'System requirements: Adobe Acrobat Reader; PostScript compatible printer'}"
Economics,MA,https://tinyurl.com/ecoma2018,2018,52,https://sierra.ceu.edu/record=b1399980,http://www.etd.ceu.edu/2018/mahara_diksha.pdf ,"{'Author': 'Mahara, Diksha', 'Title': 'Bond market development and economic growth : experience of East Asian economies / Diksha Mahara', 'Published': 'Budapest : Central European University, 2018', 'Description': '51 p. ; 30 cm.', 'Series': 'CEU Economics Department master theses ; 2018/23', 'Language': 'English', 'Summary': 'Prior to Asian financial crisis of 1997, East Asian economies grew at a remarkable speed with industry-led development strategy yet with little scope of capital market development. Experience of Asian crisis shaped the regional cooperation to build structure for long term capital markets, which led to strong tailwinds of policy structures through ASEAN Plus Three (APT) to promote bond financing. In this regard, this study uses Autoregression model, first difference of panel regression and granger causality to i) determine the direction of causality between bond market development and economic growth ii) analyze the effect of bond market development on economic growth for ten East Asian economies for the period of 2004-2016. Two categories of bond market size are used to determine bond market development, namely local currency bond market and foreign currency bond market to explore the bond market development. The result shows that while bond market has positive and significant effect on economic growth in the regional economies, it was also discovered that the causality flows from economic growth to bond market development. It is recommended that with continued development of capital markets, economic growth could continue in same path while at the same time, economic growth policies should bring greater emphasis to capital market deepening for strengthening symbiotic relationship between bond markets and growth of the region.', 'Note': 'Degree: MA', 'File Type': 'PDF file (859k)', 'Local note': 'ETD', 'Access': 'Unrestricted', 'System Det': 'System requirements: Adobe Acrobat Reader; PostScript compatible printer'}"
Economics,MA,https://tinyurl.com/ecoma2018,2018,52,https://sierra.ceu.edu/record=b1411258,http://www.etd.ceu.edu/2019/hasan_nazmul.pdf ,"{'Author': 'Hasan, Nazmul', 'Title': 'Bridging Bangladeshi garment manufacturers with the buyers of Central Europe (Hungary, Poland, Denmark, Germany) / Nazmul Hasan', 'Published': 'Budapest : Central European University, 2018', 'Description': '22 p. ; 30 cm.', 'Series': 'CEU Economics Department master theses ; 2018/48', 'Language': 'English', 'Summary': 'This business plan aims to connect small and medium clothing companies in the Central and Eastern European region with Bangladeshi readymade garments manufacturers. Bangladesh has cost advantage over its major global competitors like China, India, Philippines, Vietnam, Thailand, and Cambodia for producing various garment products. Therefore, building sustainable business relations between small and medium clothing brands in this region with Bangladeshi garments manufacturers would be a decisive business plan for a new entrepreneur. Bangladesh is a popular destination for major global retailers for apparels like H&M, Walmart, C&A, GAP, and JCPenney. However, the Bangladeshi readymade garments market is yet to be explored by the emerging clothing brands in the Central and Eastern European region. Therefore, the business idea here is to initiate a 3rd-party agency to help bridging Central and Eastern European clothing brands with the Bangladeshi manufacturers. The business here will be 100 percent equity-based initiative and require a total of 430,000 euro as the initial investment. According to the business plan, 60 percent of the equity will be possessed by external investors, the rest 40 percent will be under the founders of that agency. This business plan finds that with an initial investment of 430,000 Euro, after five consecutive years of operations, the business would receive a total revenue of 1,105,272 Euro. The expected internal rate of return (IRR) here is 30 percent to 35 percent. This report mainly focuses on introducing eco-friendly and workers friendly low-cost Bangladeshi garments’ manufacturers to relevant enterprises especially in Hungary, Denmark, Poland, and Germany. In addition to cost advantage, Bangladeshi garments have gained fame globally for its quality too. In fact, Bangladesh houses the highest 67 green garments factory in the world. According to recent reports, 300 more green garments’ factories are in the process to start their operations in the coming years. Therefore, outsourcing garments’ products from Bangladesh would open new window of opportunities for both entrepreneurs and consumers in the Central European region.', 'Note': 'Degree: MSc', 'File Type': 'PDF file (238k)', 'Local note': 'ETD', 'Access': 'Unrestricted', 'System Det': 'System requirements: Adobe Acrobat Reader; PostScript compatible printer'}"
Economics,MA,https://tinyurl.com/ecoma2018,2018,52,https://sierra.ceu.edu/record=b1399962,http://www.etd.ceu.edu/2018/fairuz_maisha.pdf ,"{'Author': 'Fairuz, Maisha', 'Title': 'Capital flows and output volatility : the role of capital controls in emerging Asia / Maisha Fairuz', 'Published': 'Budapest : Central European University, 2018', 'Description': '71 p. ; 30 cm.', 'Series': 'CEU Economics Department master theses ; 2018/14', 'Language': 'English', 'Summary': 'In an era when financial sector development is an inevitable path to greater growth, the case for financial liberalisation is only getting stronger. Yet, the ripple of the Great Recession was felt at different ends of the global economy due to financial interconnectedness. Faced with this reality, emerging market economies need to find a balance in the trade-off between financial openness and capital control. This thesis explores the effect of capital controls on output volatility in ten emerging and frontier Asian economies. The thesis uses panel data for the year 1995 to 2015 from IMF and the World Bank for Bangladesh, China, India, Indonesia, Malaysia, Thailand, and Vietnam, Singapore and Hong Kong. The capital control indexes developed by Schindler (2009) from IMFâ€™s AREAER Reports are used to gauge the level of capital restrictions in the economies. Using a fixed effects method with fourth-order autocorrelation, the study finds that average capital controls have a significant negative effect on output volatility. This also holds for controls on capital outflows. However, there is no evidence in support of using controls based on the type of asset. Additionally, good institutions support the effectiveness of capital controls in curbing output volatility. The study concludes that the emerging Asian economies maintaining some level of average capital controls have experienced less output volatility. However, the cost of this policy risks stunting the growth of the domestic financial markets. The policy implications the analysis is discussed further.', 'Note': 'Degree: MA', 'File Type': 'PDF file (1776k)', 'Local note': 'ETD', 'Access': 'Unrestricted', 'System Det': 'System requirements: Adobe Acrobat Reader; PostScript compatible printer'}"
Economics,MA,https://tinyurl.com/ecoma2018,2018,52,https://sierra.ceu.edu/record=b1411259,http://www.etd.ceu.edu/2019/kelemen_balazs.pdf ,"{'Author': 'Kelemen, Balázs', 'Title': 'Capstone project : Settlement Act advisory 2015 at Deloitte / Balázs Kelemen', 'Published': 'Budapest : Central European University, 2018', 'Description': '11 p. ; 30 cm.', 'Series': 'CEU Economics Department master theses ; 2018/49', 'Language': 'English', 'Summary': 'In the summer of 2014, the Curia (Supreme Court of Hungary) ruled on the fairness of unilateral interest rate and fee raise and loan FX spread regarding retail lending. Following the ruling, law-makers began publishing acts and regulations, collectively called “Settlement Acts”, related to the settlement of interest and fees “unfairly” charged to the client. By the end of 2015 all banks and credit institutions completed the customer reimbursements and the FX conversion, which altogether resulted in a total loss of 1 trillion HUF (~3 bn EUR) for the industry. Deloitte was appointed as external consultants to facilitate and advise on the implementation of the settlement and FX conversion by market leading banks, leasing companies and credit management firms.', 'Note': 'Degree: MSc', 'File Type': 'PDF file (139k)', 'Local note': 'ETD', 'Access': 'Capstone  project', 'System Det': 'Unrestricted'}"
Economics,MA,https://tinyurl.com/ecoma2018,2018,52,https://sierra.ceu.edu/record=b1410973,http://www.etd.ceu.edu/2018/duronelly_peter.pdf ,"{'Author': 'Duronelly, Péter László', 'Title': 'Clustering social media pages / Péter László Duronelly', 'Published': 'Budapest : Central European University, 2018', 'Description': '10 p. ; 30 cm.', 'Series': 'CEU Economics Department master theses ; 2018/41', 'Language': 'English', 'Summary': ""The thesis documents a hierarchical clustering project of companies' Facebook pages. The project's aim was finding patterns of linkages between various pages based on their shared user bases."", 'Note': 'Degree: MSc', 'File Type': 'PDF file (180k)', 'Local note': 'ETD', 'Access': 'Capstone  project', 'System Det': 'Unrestricted'}"
