department,program,lib_link,year,thesis_in_that_year,thesis_link,pdf_link,Author,Title,Published,Description,Series,Language,Summary,Note,File Type,Local note,Access,System Det,Subject,Alt Title
Legal studies,MA,https://tinyurl.com/legalma2019,2019,50,https://sierra.ceu.edu/record=b1420057,http://www.etd.ceu.edu/2019/kvaratskhelia_gvants.pdf ,"Kvaratskhelia, Gvantsa",Constitutionality of delegated legislative powers to the executive / Gvantsa Kvaratskhelia,"Budapest : Central European University, 2019",43 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2019/15,English,"The thesis focuses on constitutional standards over delegation of the legislative powers to the executive. In modern industrial states the executive’s law-making power is increased. It is regarded as practical and effective way to govern the state without impediments. However, constant practice of the delegation may cause erosion of basic constitutional principles, such as separation of powers, checks and balances and rule of law. Erosion of parliament’s rule-making function consists threat against democracy. Thesis enquires those constitutional limits that are protected in case of permitting the legislative delegation.",Degree: MA,PDF file (615k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Economics,MA,https://tinyurl.com/ecoma2019,2019,72,https://sierra.ceu.edu/record=b1421194,http://www.etd.ceu.edu/2019/osmonov_izat.pdf ,"Osmonov, Izat Akimovich",Is the current account of the Kyrgyz Republic sustainable? / Izat Akimovich Osmonov,"Budapest : Central European University, 2019",32 p. ; 30 cm.,CEU Economics Department master theses ; 2019/21,English,"The given senior thesis research aims to assess the current account deficit of the Kyrgyz Republic in recent years (2010-2018) and analyze the sustainability of the deficit. The Balance of Payments is considered during the research to understand the sources of the current account deficit and its composition, ways of financing the deficit and making conclusions about its sustainability. The examination revealed that the present situation can be kept under control by the government and considered sustainable, even though there are issues with a low level of national savings, decreasing amounts of foreign direct investment, a historically huge trade deficit and external debt. High dependency on foreign remittances remains one of the main challenges for the country, as most of the trade deficit is reduced by the inflow of remittances. The concluding part is dedicated to the policy recommendations that are supposed to enhance the sustainability of the Kyrgyz Republicâ€™s current account deficit.",Degree: MA,PDF file (538k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Gender studies,MA,https://tinyurl.com/genderma2019,2019,35,https://sierra.ceu.edu/record=b1420525,http://www.etd.ceu.edu/2019/baqais_david.pdf ,"Baqais, Dávid",The affective potential of queer shame on screen / Dávid Baqais,"Budapest : Central European University, 2019",80 p. ; 30 cm.,CEU Gender Studies Department master theses ; 2019/5,English,"This thesis explores the potential of shame as intersubjective affect through three filmic representations of queer shyness in widely divergent cinematic texts: Tom Ford’s high-profile US film adaptation of Christopher Isherwood’s novel A Single Man (chapter 1); Alain Guiraudie’s French erotic thriller L’Inconnu du lac, an art house exploration of queer desire, sex and death (chapter 2); and a Brazilian short film directed by Daniel Ribeiro, entitled Eu Nau Quero Voltar Sozinho, an coming-of-age narrative of a blind teenage boy (chapter 3). These ideas are rehearsed against the theoretical backdrop of Leo Bersani’s and Lee Edelman’s antirelational queer theory, José Estaban Muñoz’s work on queer potentiality, relationality and hope as articulated in Cruising Utopia in opposition to antiutopian antirelationality, and Eve Kosofsky Sedgwick’s affective turn (in particular her theorizing on shame and her concept of paranoid and reparative reading). The analyses in the first two chapters gesture toward a displacement of antirelational queer theory’s overinvestment in the radicality of strategically embracing cultural fantasies of male homosexuality as psychic negativity or erotic self-annihiliation. In contrast to these tropes, a vision of queer relationality grounded in the relational dynamics of shame is forwarded, drawing on Sedgwick’s work on shame inspired by Silvan Tomkins’s affect theory. The shy queer man thus comes to figure as a counterpoint to the death-driven queer subject enraptured by jouissance. The third chapter, in turn, moves from such a contrastive “anti-antirelational” engagement to a closer exploration of Tomkins’s theory of shame, combining it with phenomenological film theory and Sara Ahmed’s work on queer phenomenology, arguing that the short film’s climactic moment allows us to think shame as utopian potentiality as conceived by Muñoz. Finally, the conclusion suggests a conception of shame as reparative affect in contrast to routinized habits of thought in paranoid antirelational queer theory.",Degree: MA,PDF,ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Legal studies,MA,https://tinyurl.com/legalma2019,2019,50,https://sierra.ceu.edu/record=b1424432,http://www.etd.ceu.edu/2020/januszczyk_agnieszka.pdf ,"Januszczyk, Agnieszka",How far is too far? : a critical appraisal of exemptions for religious organizations from non-discrimination principle in employment. Europe and the US / Agnieszka Januszczyk,"Budapest : Central European University, 2019",68 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2019/38,English,"With the expansion of equality law, religious autonomy became a subject of stricter scrutiny. The “how far is to far?” paradigm illustrates the ongoing academic discussion on the reasonableness and limits to religious autonomy. This work endeavors to provide a critical appraisal of the autonomy-equality nexus, with a particular focus on the tension between the autonomy of religious organizations and the principle of non-discrimination in employment. In doing so, a comparative analysis of the selected-case law of the European Court of Human Rights, the Court of Justice of the European Union, and the Supreme Court of the United States will be conducted and critically engaged with academic literature. This work argues that we are currently in medias res of the developments related to the autonomy-equality nexus. On the one hand, academic scholarship is divided on how to set boundaries for religious autonomy, and how to justify exemptions which religions are granted in an increasingly non-religious and egalitarian society. On the other hand, the courts’ jurisprudence concerning religious exemptions from the principle of non discrimination is in flux, with only a few criteria being set so far.",Degree: MA,PDF file (619k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
School of public policy,MA,https://tinyurl.com/sppma2018,2018,41,https://sierra.ceu.edu/record=b1401863,http://www.etd.ceu.edu/2018/murphy_therese.pdf ,"Murphy, Therese Joan",Predictive policing and the carceral state : a comparative case analysis of Palantir in New Orleans and the strategic subject list in Chicago / Therese Joan Murphy,"Budapest : Central European University, 2018",48 p. ; 30 cm.,CEU School of Public Policy master theses ; 2018/28,English,"Police departments across the United States use predictive policing—algorithm-based analytical tools aimed at forecasting crime—to maximize scarce resources and prevent crime. However, these programs raise significant legal and ethical concerns, including lack of privacy, transparency, accountability, and oversight. Using the case studies of Palantir in New Orleans and the Strategic Subjects List in Chicago, this thesis identifies the emergence of a new byproduct of predictive policing: the surveillance city. It examines the morality and legality of this new development, analyzing two notable issues—racial bias and the democratic deficit. It subsequently provides recommendations on how to mitigate the effects of the surveillance city through sustained public engagement through a coalition-based civil rights movement for the digital age. It also seeks to explain some of the developments in predictive policing and the impediments to further reform using a carceral state framework, which has not previously been done in the academic literature.",Degree: MA,PDF file (1079k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Political science,MA,https://tinyurl.com/polma2019,2019,46,https://sierra.ceu.edu/record=b1421019,http://www.etd.ceu.edu/2019/stefani_benedict.pdf ,"Stefani, Benedict Paul Michael",Can impartiality be enforced when corruption is systemic? : the impact of the National Anticorruption Directorate on favouritism in local public procurement / Benedict Paul Michael Stefani,"Budapest : Central European University, 2019",95 p. ; 30 cm.,CEU Political Science Department master theses ; 2019/29,English,"Can increased judicial and electoral accountability in the form of strong anti-corruption agencies (ACAs) have a profound effect on corruption when it is systemic? Empirical evidence is mixed. Where success is absent, it remains unclear whether this is due to an insufficient implementation of ACAs and the legal framework they operate in or, as other scholars suggest, a misconceptualisation of systemic corruption. The present work addresses this controversy by bringing the deterrence effect and the political selection effect that the predominant principalagent- theory based literature suggests to an empirical test in the critical case of Romania. This is done by assessing the impact of National Anticorruption Directorate (DNA) prosecution in two forms – the announcement of investigations and the announcement of the final sentence – on favouritism in local public procurement. Based on 1.4 million public procurement contracts, Propensity Score Matching is employed to estimate the Average Treatment Effects on the Treated (ATTs) and the Conditional Average Treatment Effects on the Treated (CATTs) for Romanian localities affected by DNA prosecution concerning a composite risk score based on three red flags in the tendering process and a market domination indicator. The data reveals that the theoretical predictions cannot be confirmed. These findings may suggest that systemic corruption requires a more comprehensive approach which goes beyond currently predominant policies.",,PDF file (1209k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Sociology,MSc,https://tinyurl.com/socma2019,2019,27,https://sierra.ceu.edu/record=b1420120,http://www.etd.ceu.edu/2019/qiu_zhitian.pdf ,"Qiu, Zhitian",Factory regime of duty contractor under platform capitalism : an example of Chinese logistics industry / Zhitian Qiu,"Budapest : Central European University, 2019",52 p. ; 30 cm.,CEU Sociology Department master theses ; 2019/26,English,"In this thesis, by doing ethnographic fieldwork at two courier stations, I put forward a concept of factory regime of duty contractor to better understand the production politics of informality in the third-party logistics companies under the demand of the booming platform economy. As pointed out by Burawoy(1985), the factory regime should be examined with regards to four factors: labour process, reproduction of labour power, market competitions among firms and the state intervention. Within the framework composed of these four dimension, I examine the production politics in the courier sector and conclude that: first, as a result of the fierce market competition, intention to lower the labour cost and the characteristics of the work itself, the courier worker is organized by the capital both as an employee and a contractor, which indicated the tension of lose labour control and intensified labour control ; secondly, the first point may contribute to the discussion of the separation of execution and conception work in an informal work sector; thirdly, such a concept indicates a self-motivated and self-responsible ideology; fourthly, the state’s public governance may have a direct impact on the worker’s condition, so as to the factory regime. The state intervention of an authoritarian regime, in the case of courier sector, maybe the key factor to trigger the collective resistance of the workers.",Degree: MA,PDF file (365k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
IR,MA,https://tinyurl.com/iresma2020,2020,39,https://sierra.ceu.edu/record=b1429317,http://www.etd.ceu.edu/2020/tiik_johanna-maarja.pdf ,"Tiik, Johanna Maarja",Deepening energy policy integration in the European Union : could politicization of climate change be the key? / Johanna Maarja Tiik,"Budapest : Central European University, 2020",63 p. ; 30 cm.,CEU International Relations Department master theses ; 2020/33,English,"Climate change has gained a lot of attention among the European Union (EU) public in the last years, with scientists as well as climate strikers stressing the need for action. However, the effects of that phenomenon around the issue of climate change among the public on the EU energy policy remain under-researched. In order to establish the link between the two, the thesis applies the neofunctionalist EU integration framework, which claims that politicization of an issue leads to further policy integration of that topic. Previous research has noted that politicization of climate change has been underway in individual countries, however, the current thesis establishes, based on opinion polls and European Parliament election results, that this process has also occurred in the EU as all three criteria of politicization (increase in the salience, polarization of opinion and mobilization of public opinion) have increased over the last few years. Regarding energy policy, the thesis demonstrates that the deepening of energy policy integration has increased significantly, especially in the form of bottom-up pressure, thereby ’bringing politics’ into energy policy. Based on the neofunctionalist conceptual frame, the thesis concludes that the increased politicization of climate change among the public has fueled energy policy integration in the EU, becoming the main driver behind it and replacing thus the earlier driver of the Energy Union – energy security. More broadly, the thesis sets an example of a way in which public perceptions are capable of shaping or even driving policy issue integration in the EU.",Degree: MA,PDF file (1569k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Economics,MA,https://tinyurl.com/ecoma2018,2018,52,https://sierra.ceu.edu/record=b1410971,http://www.etd.ceu.edu/2018/chytil_mario.pdf ,"Chytil, Marió",Analysis of deviations of reticuloruminal pH data of dairy cattle and development of a rumen condition scoring system / Marió Chytil,"Budapest : Central European University, 2018",12 p. ; 30 cm.,CEU Economics Department master theses ; 2018/51,English,"My Capstone Project is aimed at describing the fluctuation of pH values with time series models, but also goes farther in two aspects: firstly I used always three models to capture patterns in the data enabling also the comparison between them through fit measures, (developed methodology offers the possibility of the inclusion of three models with parametrizable features) and secondly – due to the complexity and difficult interpretability of the results of the models – I established a simplified scoring system, which will show farm owners deviations from the established pattern(s) by means of scores characteristic for given animal.",Degree: MSc,PDF file (166k),ETD,Capstone  project,Unrestricted,,
School of public policy,MA,https://tinyurl.com/sppma2018,2018,41,https://sierra.ceu.edu/record=b1401880,http://www.etd.ceu.edu/2018/trlifaj_simon.pdf ,"Trlifaj, Simon","How knowledge becomes a public good : permanency, patents and secrecy / Simon Trlifaj","Budapest : Central European University, 2018",64 p. ; 30 cm.,CEU School of Public Policy master theses ; 2018/40,English,"Knowledge is often considered to be a public good, and many policy proposals take lessons from public goods management and apply them to knowledge creation. I argue that this is an oversimplification. Knowledge can be partially rival and excludable, and companies routinely use secrecy to mitigate the risk of knowledge disclosure. The path of an invention from an inventor to general knowledge is far from straightforward, influenced by many factors including institutional interventions such as patents. I introduce a new property of permanency—the inability to reverse transactions with a good—to analyze how knowledge becomes a public good. To show the effects of permanency empirically, I use assignment data on over four million US patents to test the hypothesis that patents on relatively less reverse-engineerable inventions will more likely be reassigned sooner after the application date. The results of a logistic and survival regression support this hypothesis, which suggests that permanency plays a role in motivations of inventors and companies to patent. Future research on knowledge creation and disclosure and policy proposals for patent reforms thus should employ a more nuanced conceptualization of knowledge, in which permanency plays a role.",Degree: MA,PDF file (1563k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
