department,program,lib_link,year,thesis_in_that_year,thesis_link,pdf_link,author,title,published,description,series,language,summary,note,filetype,localnote,access,systemdet,subject,alttitle,program_sampling
Mathematics,PhD,http://tinyurl.com/cysrae, PhD (all years),63,https://sierra.ceu.edu/record=b1131751,http://www.etd.ceu.edu/2008/tphpac01.pdf ,"Palmer, Cory Thomas",Edge-weightings and the chromatic number / Cory Thomas Palmer,"Budapest : Central European University, 2008",85 p. ; 30 cm.,CEU Department of Mathematics PhD theses ; 2008/4,English,"Motivated by the difficulty of determining bounds on the chromatic number of a graph, we examine several new graph parameters  that are related to the standard chromatic number. These parameters are based on edge-weightings and are interesting in their own right but they also have potential  consequences for the chromatic number.  The core of the thesis will be dedicated to the particular problem to determine the minimum number of weights needed to assign to the edges of a graph $G$ with no component $K_2$ so that any two adjacent vertices have distinct sets of weights on their incident edges.  The main result is that this minimum is at most $\lceil \log_2 \chi(G) \rceil+1$. This upper-bound is best possible for $\chi(G) \geq 3$. We also characterize the case when $\chi(G) = 2$.",Degree: PhD,PDF file (383k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,Graph theory,,PhD
History,PhD,http://tinyurl.com/ycayjpm, PhD (all years),60,https://sierra.ceu.edu/record=b1147863,http://edocuments.library.ceu.hu/phvi07.pdf ,"Vincze, Hanna Orsolya",The politics of translation and transmission : the beginnings of political theorising in the Hungarian vernacular / Hanna Orsolya Vincze,"Budapest : Central European University, 2007",279 ; 30 cm.,CEU History Department PhD theses ; 2007/7,CEU Doctoral School of History,,English,,,,,,,PhD
Environmental sciences,PhD,http://tinyurl.com/cd675h,PhD (all years),48,https://sierra.ceu.edu/record=b1246111,http://www.etd.ceu.edu/2016/winter_amanda.pdf ,"Winter, Amanda Kay",Contested sustainability and the environmental politics of green city making / Amanda Kay Winter,"Budapest : Central European University, 2016",266 p. ; 30 cm.,CEU Department of Environmental Sciences & Policy PhD theses;   2016/4,Urban planning,Architecture,Environmental policy,Sustainable development,English,Degree: PhD,PDF file (5308k),City planning,,PhD
Philosophy,PhD,http://tinyurl.com/yhque8b, PhD (all years),45,https://sierra.ceu.edu/record=b1168527,http://www.etd.ceu.edu/2013/varga_alexandra-lucia.pdf ,"Varga, Alexandra Lucia",A formal model of infants' acquisition of practical knowledge from observation / Alexandra Lucia Varga,"Budapest : Central European University, 2013",221 p. ; 30 cm.,CEU Philosophy Department PhD theses ; 2013/5,Philosophy of mind,English,"The thesis is concerned with modelling observational learning as exhibited by infants in the above mentioned studies. The primary aim is to construct a process model that accounts for the empirical results from within the rationalist explanatory framework. I assume that young agents’ instrumental behavior is supported by practical reasoning processes; I justify this assumption by a review of empirical data from developmental psychology. The full-fledged model corroborates the developmentalists’ claim regarding the inferential support for imitative learning. It strengthens the argument that infants’ learning of practical skills and artifact functions from observation of adult human agents is an instance of teleological instrumental rationality. However the roles of perceptual, motor, or memory capacities of the human mind are also considered. The model is built in the thesis in two steps: first I spell out the proposed conceptualization of the processes that support infants’ performance in the head-touch task, and then I provide a technical depiction of those processes in the logic of choice.",Degree: PhD,PDF file (1751k),ETD,,Agent (Philosophy),,PhD
Legal studies,PhD,http://tinyurl.com/hbq9et3, PhD (all years),42,https://sierra.ceu.edu/record=b1405322,,"Mba, Sanford Uchechukwu","New financing for distressed businesses in the context of restructuring comparing approaches from the US, UK and Germany, with lessons for Nigeria and other frontier markets / Sanford Uchechukwu Mba","Budapest : Central European University, 2018",404 p. ; 30 cm.,CEU Legal Studies Department PhD theses ; 2018/9,Corporations -- Finance,Degree: PhD,English,"The legal regime for restructuring distressed but viable businesses as an alternative to their liquidation has been the subject of advocacy at international, regional and domestic policy and law reform circles. The essence of retooling the regime is to better help facilitate the restructuring of such businesses, putting them in a position to return to profitability in such a way that best balances the rights and claims of its stakeholders. Critical to this process is the availability of new financing, first in the interim to keep the business going and then also to help it implement a workable restructuring plan. It cannot be gainsaid that the availability of new financing may determine the success or otherwise of the restructuring efforts. Lending by itself presupposes some risks. This riskiness is further exacerbated by the fact of financial distress. Intuitively, lending to distressed businesses will not be ordinarily typical for providers of financing. This has spurred the growing need to incentivize providers of financing to distressed businesses. On the flipside, it has also informed the need to check possible overreaching, occasioned by new financing whether by pre-distress lenders or by new lenders who for various reasons are now becoming the face of distress lending.  These issues are addressed in this dissertation on a comparative basis, analyzing the approaches in the US, UK and Germany and drawing lessons for frontier markets like Nigeria which is at the threshold of reworking its bankruptcy regime in the light of the growing acceptance of restructuring as an important part of the that regime. The Nigerian analysis is of relevance to similarly placed frontier markets.  The dissertation investigates and shows that jurisdictional approaches to statutory incentivizing of new financing differ along the lines of two articulated approaches: a prescriptive approach on the one hand, and a market-based approach on the other. Thus, while on the one hand, there is a prescriptive approach, which spells out defined explicit rules for providing new financing, protection for prior lenders, on the other hand, there is a market-based approach, which emphasizes the role of the market as the better judge of when a distressed lender may be incentivized, how the incentives may be designed, and what concession prior lenders may be willing to make. In the face of these two competing approaches to incentivizing new lending, the dissertation examines the underlying indices that support this divergence in the articulated approaches.  The dissertation further investigates the use of new financing agreements as instruments of lender capture, given their implications for other stakeholders of the business. In this regard, the dissertation critically examines the theoretical justifications for the key provisions of such agreements and, on a comparative basis, existing principles that can be used to countermand overreaching provisions of such agreements.  Finally, while pointing out the role of the distressed debt market as a source of distressed financing with growing importance, the dissertation argues that courts can play a key role in balancing the misalignments that can arise from the participation of distressed debt investors as financers in the restructuring process. In a related sense, the dissertation critically examines the manifestation of the distressed debt market in emerging markets like Nigeria and the opportunity presented through non-performing loans, arguing that the regulatory pattern of entry into the market may dis-incentivize distress debt investing in a market that is in dire need of financing.",PDF file (2894k),ETD,,Corporate reorganizations,,PhD
Environmental sciences,PhD,http://tinyurl.com/cd675h,PhD (all years),48,https://sierra.ceu.edu/record=b1173902,http://www.etd.ceu.edu/2014/khan_fouad.pdf ,"Khan, Fouad Muhammad",Scaling in cities as an indicator of energy consumption : what fractal analysis could tell us about resilience and disparity in complex systems  / Fouad Muhammad Khan,"Budapest : Central European University, 2014",187 p. ; 30 cm.,CEU Department of Environmental Sciences & Policy PhD theses;   2014/1,Climatic changes,PDF file (3445k),English,Degree: PhD,"Climate change and global resource extraction peaks are problems that may require a complete overhaul of the fundamental paradigms of our civilization in order to be solved. Paradigm changes are implemented in societies first and foremost through a redefinition of indicators. Our current indicator systems do not take into account the complexity of human social, economic and material systems and prioritize “efficiency” and “growth”. The objective of this research was to develop an indicator for one type of anthropogenic complex systems, i.e. cities that took into account the complex nature of the system and provided a quantitative way to prioritize alternative values such as “resilience” and “sustainability”. Scaling has been identified as one measure of complexity in a system, which is relatively easy to compute and comprehend. Here, I have developed a scaling indicator for cities based on fractal dimension. US block wise census data was used to calculate the exponent of the power-law distribution of population density across different census blocks in a city. The power-law, or scaling indicator, herein referred to as the fractal dimension was then compared to parameters such as population, area, population density, gasoline sales, gasoline sales per capita and area, and carbon emissions and carbon emissions per capita. It was noted that the fractal dimension had a power-law correlation with gasoline sales per unit area in the cities. The analysis was then extended a second complex system, i.e. national economies. Fractal dimension or scaling of percentages of incomes across the highest earning to lowest earning twenty percent segments of the population was calculated using World Bank economic data for 2004 (the year for which most extensive dataset was available). The relationship between this scaling indicator and energy usage per capita in countries was again found to be a power-law with an r-square value of more than 0.35 (similar to the correlation between urban fractal dimension and gasoline sales per area in cities). A new planning tool is developed to allow incorporation of consideration of these complexity indicators in development planning for cities and national economies. The planning-plane allows for visualization of the impacts of particular interventions in cities (e.g. housing scheme) and economies (e.g. changes in tax-code) on energy consumption parameters across two independent variables (e.g. population and fractal dimension) instead of the usual practice of using one indicator (e.g. population density). The similar nature of the correlation between scaling indicators and energy consumption indicators in two completely different anthropogenic complex systems hints at some underlying similarity in the mechanism through which these complex systems develop. It is hypothesized here that steeper scaling (e.g. higher income differences in economies) in complex systems makes good system regulation more energy intensive, thereby affecting the energy consumption parameters as observed in this study. Steeper scaling also thus negatively affects the effectiveness of regulation in complex systems and makes the system more prone to internal shocks. Planning system evolution for resilience would thus benefit from consideration of scaling indicators in the planning process.",ETD,Unrestricted,City planning -- Environmental aspects,,PhD
Philosophy,PhD,http://tinyurl.com/yhque8b, PhD (all years),45,https://sierra.ceu.edu/record=b1161020,http://www.etd.ceu.edu/2012/fphwaz01.pdf ,"Wagner, Zoltan","Reflectivity, caring and agency  / Zoltan Wagner","Budapest : Central European University, 2012",173 p. ; 30 cm.,CEU Philosophy Department PhD theses ; 2012/1,Agent (Philosophy),English,"As a solution for the problem of free will and determinism, Harry G. Frankfurt developed his hierarchical theory of desires. This controversial theory led to fruitful debates not only in connection with the problem of free will but in other areas as well including personal and practical identity, rationality in action and the problem of agency in general. Thus, this dissertation is not focused on the problem of free will but on the role of second-order desires in agency. More particularly, it discusses the importance of two features of human agency that Frankfurt emphasized most. First, humans are reflective, that is, they can evaluate their own desires. Second, humans are capable of caring about things, that is, some things are important for them in a special way. Frankfurt understands both of these crucial abilities as based on our ability to have second-order desires. In agreement with Frankfurt, I will argue that both reflectivity and caring are very important and basic abilities, and that they are connected to each other. However, I will disagree about their relation and about the definition of caring as dependent on second-order desires. I will argue that caring in the most basic sense is not a reflective ability but a first-order evaluation which is centrally important to action. I will also try to show that the reason humans have second-order desires is that they care about things. Thus, our second-order desires should be based on our personal values; in other words, what we care about. As a consequence, the most important claim of this dissertation is the following: though humans are reflective creatures, it is not reflectivity that is the most important feature of human life. Rather, caring, as a first-order evaluation is more important and our ability to reflect about our motivation depends on being able to care about things in this sense. At the end of the dissertation I will briefly discuss a serious problem for any caring based theory of action: the problem of self-control and self-management. Since we do not directly control by decisions what we care about, it seems that we cannot have these abilities. However, I will try to sketch a method of self-control and self-management which is consistent with the importance of the redefined concept of caring and which is based on self-trust and openness. This method will add one more argument against the importance of reflectivity: second-order desires do not help us in managing our desires; rather, they can interfere with self-control and become self-defeating strategies.",Degree: PhD,PDF file (694k),ETD,,Free will and determinism,,PhD
School of public policy,PhD,http://tinyurl.com/gl5s68p, PhD (all years),20,https://sierra.ceu.edu/record=b1428103,http://www.etd.ceu.edu/2020/torotcoi_simona.pdf ,"Torotcoi, Simona",From international commitments to institutional reality : the case of higher education policy in Europe / Simona Torotcoi,"Budapest : Central European University, 2020",245 p. ; 30 cm.,CEU School of Public Policy PhD theses ; 2020/3,"Education, Higher -- Europe",Degree: PHD,Education and state -- Europe,English,PDF file (11748k),"This dissertation aimed to address the implementation gap of the Bologna Process (BP) as a transnational, voluntary higher education policy framework. Established 20 years ago as a voluntary cooperation initiative on higher education cooperation in Europe, the BP has set important policy objectives for national higher education systems and Europe at large. While government representatives, through the ministerial meetings constantly agree on what they should implement in their national higher education systems, implementation reports show considerable differences between countries and higher education institutions (HEIs) with regard to implementation. Starting with the early stages of the BP scholarly work has demonstrated that there is an increasing interest in studying the different dimensions of BP implementation. A considerable amount of these studies has focused on assessing and explaining the different levels of BP implementation yet there is a gap in addressing the implementation of the BP from an integrated perspective. This dissertation aimed to fill this gap and asked What are the factors explaining the different levels of implementation of higher education policies within the Bologna Process? First of all, this dissertation seeks address the research gap by focusing on specific policy areas within the BP (quality assurance and the social dimension), diverse county contexts and higher education institutions within such contexts (Moldova, Portugal, and Romania). Secondly, it aims to contribute to the broader policy implementation literature by providing a conceptual understanding of policy implementation, by breaking it into adoption, transposition and practical implementation, and by putting forward an integrated set of factors for each of the three implementation stages, and empirically test them through semi-structured interviews. The dissertation hypothesizes three causal mechanisms for each of the implementation levels. Firstly, is hypothesized that adoption is the result of policy fit between commonly agreed policies at the BP level and national preferences and interests, as resulted through national representatives’ participation in BP. The causal model predicts that if BP policies have the support of top domestic actors and structures, this may push the national policies closer to the ones promoted by the BP. As a result, BP structures prefer to collaborate with those domestic actors who are in favor of its policies. Secondly, specific to the transposition stage it can be hypothesized that mutual learning and other socialization processes equip governmental agencies and bodies, societal actors, and the academic community with information about the main developments at the EHEA level and contribute to national level policy-making by feeding back national policy makers, affecting the choice for specific policy instruments and implementation mechanisms. Last but not least, at the HEIs level rectors and top-managers, academic and administrative staff, and students develop institutional plans and policies in line with the national level policies or the BP depending on their participation as stakeholders in the policy-making processes, autonomy and the added value of the policies in question. First of all, this dissertation highlighted the complex relationship between the BP, national, and institutional policy-making and the importance of national and institutional (interest) structures, actors (coalitions) and processes in connecting these levels. While it is assumed that that there is a “filter” when it comes to the implementation the BP commitments, with each level and layer of policy-making preconditioning the following (adopting the necessary legislation, transposition and institutional practices) this dissertation has shown that this is very much dependent on the policy in question. Quality assurance (QA) is a rather structural and technical area, with clear conceptualizations and operationalizations, with structures and bodies at the European, national and institutional level, whereas the social dimension (SD) is underdeveloped in this respect. HEIs implement QA policies because of the competitive environment they have to operate in but also because of the existent monitoring mechanisms (at the institutional, national and BP level). The SD is a rather sensitive area, with most of the universities putting forward their preferred approaches on how to deal with such issues. If in the case of QA in most of the country cases there is a national level agency which pushes for implementation at the HEIs level, in the case of SD the situation is loose.",ETD,"CEU Doctoral School of Political Science, Public Policy and International Relations",,PhD
Gender studies,PhD,http://tinyurl.com/zkm3x95, PhD (all years),37,https://sierra.ceu.edu/record=b1174539,http://www.etd.ceu.edu/2013/koshulap_iryna.pdf ,"Koshulap, Iryna","Women, nation, and the generation gap : diasporic activism of the Ukrainian National Women's League of America in the post-cold war era  / Iryna Koshulap","Budapest : Central European University, 2014",210 p. ; 30 cm.,CEU Gender Studies Department PhD theses ; 2014/4,English,"The present study examines a co-formative relationship between the diasporic and women’s activism of the Ukrainian National Women’s League of America at the time of Ukraine’s independence. Founded in 1925, this voluntary-based non-profit organization of Ukrainian migrant women and women of Ukrainian descent has carried out philanthropic, educational, and cultural activities along with political protests and lobbying, taking a recognized place among organizations of the Ukrainian diaspora in the United States. Having been a women’s organization in the Ukrainian diaspora and an ethnic organization in American and international women’s movements from its inception, the UNWLA often considered its participation in international women’s forums instrumental in promoting the cause of Ukraine’s sovereignty. Instead of withdrawing from this arena in the early years of Ukraine’s independence, however, the UNWLA started to adopt the women’s rights and equality discourses for generating relations with the state and non-state actors in Ukraine and for conceptualizing a vision for the organization’s future. Drawing on fieldwork findings from the New York City branches of the organization, I argue that the current shift in the UNWLA’s relation to women’s rights movement has been triggered not only by the changes in the political status of their homeland, but also by the generational shift in the UNWLA membership as well as by the growing currency of women’s rights discourses in the international politics.",Degree: PhD,PDF,ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,PhD
Mathematics,PhD,http://tinyurl.com/cysrae, PhD (all years),63,https://sierra.ceu.edu/record=b1135043,http://www.etd.ceu.edu/2009/tphsea01.pdf ,"Sereny, Andras G",Some results on operator semigroups and applications to evolution problems  / Andras G Sereny,"Budapest : Central European University, 2008",74 p. ; 30 cm.,CEU Department of Mathematics PhD theses ; 2008/5,Functional analysis,English,"In this thesis we address certain questions arising in the functional analytic study of dynamical systems and differential equations. First, we discuss the operator theoretic counterparts of the central ergodic theoretical notions of strong and weak mixing. These concepts correspond to particular types of asymptotic behaviour of operator semigroups in the weak operator topology, called weak and almost weak stability. Using functional analytic tools and methods from ergodic the- ory, we describe various features of (almost) weakly stable semigroups. In particular, we show that (in the Baire category sense) typical elements in certain natural spaces of semi- groups are almost weakly but not weakly stable, thus we carry over classical theorems of Halmos and Rohlin for measure preserving transformations to the Hilbert space operator setting. Further, we illustrate operator semigroup methods and results on a class of telegraph systems with various boundary conditions. We study both linear and nonlinear boundary value problems. The stability of linear telegraph systems is discussed by applying theorems from the previous chapters. For the existence of solutions, we are particularly interested in time-dependent boundary conditions, since this case has little been investigated so far. The operator semigroup techniques applied to the case of Lipschitz continuous non- linearities are combined with estimates from the theory of monotone operators to yield well-posedness and the regularity of the solutions, also in the case of dynamic boundary conditions.",Degree: PhD,PDF file (550k),ETD,Unrestricted,Measure theory,,PhD
