department,program,lib_link,year,thesis_in_that_year,thesis_link,pdf_link,author,title,published,description,series,language,summary,note,filetype,localnote,access,systemdet,subject,alttitle,program_sampling,coder,folder_name
Sociology,MSc,https://tinyurl.com/socma2020,2020,27,https://sierra.ceu.edu/record=b1429134,http://www.etd.ceu.edu/2020/achitsa_annabella.pdf ,"Mutsiambo, Annabella Analo Achitsa",Remittance-development nexus : the policy and political narratives of migrant remittances in Kenya / Annabella Analo Mutsiambo Achitsa,"Budapest : Central European University, 2020",79 p. ; 30 cm.,CEU Sociology Department master theses ; 2020/1,English,"Traditional remittances are funds transferred by migrants to their country of origin as a form of obligation to financially sustain their dependents back home. Remittances today however have gained increasing exposure from the international, regional and national communities when linked to development of nations. The purpose of this study is to bridge the existing knowledge gap with regard to understanding the âjourneyâ governments in the third world have walked to embrace what started as remittances by migrants to sustain their families in their origin country into a major resource input into the economic, social and political development of these countries. The focus of the study is narrowed down on providing a holistic policy and state representation of migrant remittances as perceived and understood by these developing countries and the remittances received where Kenya is selected as the geographical focus of the study. Utilizing discourse analysis to analyze key documents published by the Kenyan government and others by the Kenyan government in partnership with regional and international organizations, where key features depicting and propagating the policy and political remittances narrative in Kenya were identified. That is, there is a continuous recognition and incorporation of Kenyan migrants into the Kenyan economic, social and political sphere, a created and continuously sustained bounded social space of interaction between Kenyan migrants and the Government of Kenya, and remitting obligations are seen to be changing from traditional moral obligations to market-based remitting. There is also identity creation for migrants by the state through migrant engagement policies, initiatives and national development projects and finally the role Kenya plays in sustaining the remittance â development rhetoric.",Degree: MA,PDF file (1091k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,achitsa_annabella.pdf 
Legal studies,MA,https://tinyurl.com/legalma2020,2020,78,https://sierra.ceu.edu/record=b1428987,http://www.etd.ceu.edu/2020/aliyev_ruslan.pdf ,"Aliyev, Ruslan",Right to a name and its legal inclusiveness in protection of the indigenous peoples` identity and culture / Ruslan Aliyev,"Budapest : Central European University, 2020",62 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2020/7,English,"What is right to name for indigenous people? Does international law address all its facets properly? My answer is negative. It has no single definition, i.e. name to right has no its name. Thus, international law could respoond just a part of them, but there is so many facets missed.I find necessary time-sensitivity as one of important issues to address, in regard to hesitant and dilatory improvement of IIRL in this area.",Degree: MA,PDF file (1020k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,aliyev_ruslan.pdf 
Gender studies,MA,https://tinyurl.com/genderma2019,2019,35,https://sierra.ceu.edu/record=b1423196,http://www.etd.ceu.edu/2019/ang_jona-marie.pdf ,"Ang, Jona Marie Pango",Women Overseas Filipino Workers (OFWs) in Hungary : a feminist Global Political Economy (GPE) analysis / Jona Marie Pango Ang,"Budapest : Central European University, 2019",95 p. ; 30 cm.,CEU Gender Studies Department master theses ; 2019/32,English,"This thesis is an exploratory study about women Overseas Filipino Workers (OFWs) that poses the main questions: What factors contributed to the womenâs decision to migrate to Hungary? What were the migration-related issues encountered by the women in dealing with the Philippine and Hungarian governments? What are the challenges of living and working in Hungary, and how do Filipina migrant workers address them? How does identity figure in these challenges and the womenâs responses to them? In making the above inquiries, the thesis not only broadens the discussion on Filipinas employed abroad in terms of occupation and geographical location, but also challenges essentialist narratives in existing literature on women OFWs. The research was enriched by drawing on the accounts of ten women OFWs in Hungary of different ages, civil status, occupations, and socio-economic backgrounds, with a view to find out as much as possible about their motivations and aspirations. This is important because studies or articles on women OFWs need to account for diverse jobs, personalities, individual circumstances leading to migration, and lived experiences that go beyond abuse, exploitation, or violence to have a fuller view of the womenâs complexities.  In order to analyze the information gathered from the women interviewees, a Feminist Global Political Economy (GPE) framework was used. This framework utilizes the feminist perspective to examine the situation of the women OFWs within the global political economy, which involves different actors and elaborate domestic-international, private-public, local-global, and south-north interactions. Concepts from intersectional and post-colonial theories were also incorporated to account for intersecting gender, race, and class identities of Filipinas as women of color, Asians, and âThird World women.â  The thesis will show that âFilipinasâ and âoverseas Filipina workersâ are not homogeneous categories and they have various reasons for leaving the Philippines and residing in Hungary, as well as various ways of responding to challenges posed by transnational labor migration. The women OFWs contend with restrictive state power in the form of regulated entry, residence, and exit, along with the discourse of the Philippine government that constructs them as objects that are naturally meant to be marketed as overseas labor. Filipinas in Hungary deal with gendered and racialized notions of who they are as women, workers, and partners. They also encounter racism and issues with migration and employment. However, In the milieu of neoliberal globalization where state and transnational business interests prevail, the women have had to rely on themselves and their informal networks for survival and development given the lack of support or services offered by the Philippine and Hungarian governments.",Degree: MA,PDF,ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,ang_jona-marie.pdf 
Economics,PhD,http://tinyurl.com/gwt6qu2,PhD (all years),46,https://sierra.ceu.edu/record=b1423989,http://www.etd.ceu.edu/2020/baksa_daniel.pdf ,"Baksa, DÃ¡niel","Three essays on growth, demography and macroeconomics / DÃ¡niel Baksa","Budapest : Central European University, 2019",192 p. ; 30 cm.,CEU Economics Department PhD theses ; 2019/6,"Financial crises -- Europe, Central","Financial crises -- Europe, Eastern","Convergence (Economics) -- Europe, Central","Convergence (Economics) -- Europe, Eastern",Aging -- Economic aspects,Demography,English,CEU Doctoral School in Economics,,PhD,2,baksa_daniel.pdf 
Legal studies,MA,https://tinyurl.com/legalma2018,2018,60,https://sierra.ceu.edu/record=b1399467,http://www.etd.ceu.edu/2018/balaban_tatiana.pdf ,"Balaban, Tatiana","Choice of law and jurisdiction in E-commerce contracts with focus on B2C agreements : a comparative analyses of EU, US and China legal frameworks / Tatiana Balaban","Budapest : Central European University, 2018",70 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2018/3,English,"During the last few decades the world witnessed a rapid development of E-commerce transactions. Today, nearly 2 billion people are active users of online markets. E-commerce, in its unique way, is the only borderless market and this feature makes its regulation highly complicated as of today, states are not able to agree on uniform set of rules that will govern the immense online market. The international nature of E-commerce constantly raises legal questions as the law struggles to catch up to a changing world. The non-geographical nature of E-commerce makes the traditional application of choice of law and jurisdiction rules difficult to apply, as these were designed for a pre internet age, based on connection factors, the strongest being geographical in nature. In E-commerce, it is highly complicated for the parties to identify the real location of the other as the transaction is based on informal declarations that are not all the time accurate, and even these geographical indicators can fail while talking about the contracts performed online. In order to ensure predictability and certainty in E-commerce transaction instead of using connecting geographical indicators it would be more useful to identify proper law and jurisdiction based on party autonomy. However even in this hypothesis it is highly probable that improper law and jurisdiction will be applicable. Such risk emerges because of unequal bargain power of the parties, E-businesses are usually assisted by professional lawyers that are able to design the terms of an E-contract in the favor of their clients. At the same time consumers are less likely to be aware about the meaning and consequences of such clauses as choice of law and choice of jurisdiction, furthermore they are not even able to negotiate the terms before agreeing to them. Hence validity and enforceability of these clauses are of a primary importance, especially because of the fast growing online market. This thesis will outline the main features of E-commerce contracts with specific references on choice of law and jurisdiction clauses. Also thesis will provide an overview of choice of law and jurisdiction laws in the EU, US, and Chinese legal system.",Degree: MA,PDF file (997k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,balaban_tatiana.pdf 
Economics,Business,https://tinyurl.com/ecobus2018,2018,26,https://sierra.ceu.edu/record=b1411246,http://www.etd.ceu.edu/2018/balayan_elza.pdf ,"Balayan, Elza",Youth banking : trends and preferences in youth savings / Elza Balayan,"Budapest : Central European University, 2018",10 p. ; 30 cm,CEU Economics and Business Department master theses ; 2018/16,English,"Numerous studies have been conducted to analyze the preferences and attitudes of the youth towards banking services in todayÃ¢â¬â¢s rapidly changing environment. Nevertheless, there are still inconsistencies present between different studies and research materials. That assumes that a further analysis is required to fill in the gaps between the previous ones. This paper will discuss various savings products offered by financial institutions and which of them are more applicable for the youth, taking into account their preferences and needs. Moreover, differences and similarities of previous studies will be highlighted followed by a focus group analysis. Finally, the paper will include a further analysis based on possible behavioral causes, which could impact the decision-making process.",Degree: MSc,PDF file (470k),ETD,Capstone  project,Unrestricted,.,,Business,2,balayan_elza.pdf 
IR,MA,https://tinyurl.com/iresma2020,2020,39,https://sierra.ceu.edu/record=b1429234,http://www.etd.ceu.edu/2020/balial_nikkon.pdf ,"Balial, Nikkon",The gatekeeper of sovereignty : analyzing Russian framing of the Syrian intervention / Nikkon Balial,"Budapest : Central European University, 2020",47 p. ; 30 cm.,CEU International Relations Department master theses ; 2020/7,English,"The Kremlinâs involvement in the Syrian civil conflict was a foreign policy move that evolved as a matter of concern not only for the Western countries but also for the international community, in general. The Russian act of justifying its involvement in Syria has been a recurrent theme of debate and contention, leaving behind confused analysts, scholars and policy makers. The goal of this thesis is to highlight and analyze how the Russian intervention in Syria is being framed through speech acts, UN statements and interviews by Russian leaders such as President Vladimir Putin, Foreign Minister Sergey Lavrov and UN Permanent Representatives Vassily Nebenzia and Vitaly Churkin internationally as well as at home to the Russian public. In this academic work, I claim that Russia uses the pro-sovereignty argument to justify its intervention in Syria. I conclude that President Putin and other Russian spokespersons are using the pro-sovereignty discourse of intervention rather than the âResponsibility to Protectâ reasoning for justifying their involvement in Syria. This paper opens up further scope for future research on the significant role that framing can play in analyzing foreign interventions. Finally, this work also emphasizes that the same pro-sovereignty argument has been used by Russia before during other instances of interventions, and thus can be used for suggesting a broader pattern of behavior from the Russian end.",Degree: MA,PDF file (544k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,balial_nikkon.pdf 
School of public policy,MA,https://tinyurl.com/sppma2018,2018,41,https://sierra.ceu.edu/record=b1401836,http://www.etd.ceu.edu/2018/borisova_darina.pdf ,"Borisova, Darina",The nature of the Brexit referendum vote : testing three theories of voting behaviour in EU referendums / Darina Borisova,"Budapest : Central European University, 2018",55 p. ; 30 cm.,CEU School of Public Policy master theses ; 2018/19,English,"The thesis examines the controversial nature of the 2016 Brexit referendum vote, which resulted in majority of citizens supporting the United Kingdomâs withdrawal from the European Union. The paper aims to explain behaviour of the British voters and identify the factors on which the decision to vote âLeaveâ was based. Thus, congruence analysis is conducted to better achieve the aim of the work. In particular, three main theories of voting behaviour in EU referendums â issue-voting, second-order election and utilitarian â are first thoroughly examined and then applied to the Brexit referendum in the empirical part of the thesis. As a result, the study not only determines the key factors that can explain behaviour of Britons in the referendum, but also identifies the voting behaviour theory with the strongest explanatory potential regarding the Brexit case.",Degree: MA,PDF file (813k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,borisova_darina.pdf 
School of public policy,MA,https://tinyurl.com/sppma2020,2020,24,https://sierra.ceu.edu/record=b1428435,http://www.etd.ceu.edu/2020/bouhout_nouhaila.pdf ,"Bouhout, Nouhaila",The failure of global drug control policy : Morocco's cannabis resin market as a case study / Nouhaila Bouhout,"Budapest : Central European University, 2020",52 p. ; 30 cm.,CEU School of Public Policy master theses ; 2020/7,English,"For over a century, the international drug control regime has failed to effectively reduce the harms associated with drugs. This is despite prohibition and eradication-based methods of addressing illegal crop cultivation. This thesis analyses these failures by focusing on a specific case study: Moroccoâs cannabis resin market. Regardless of drug policies and international treaty obligations to eradicate cannabis cultivation and production, the RifâMoroccoâs most disadvantaged regionâremains the largest producer and supplier of cannabis resin, globally. In order to understand these controversial outcomes, this thesis conducts a drug control policy impact assessment. It identifies and examines unintended drug policy impacts on the Rifâs economic, environmental, and social development. This thesis perceives and measures drug policy from a broader social context as the key drivers of drug markets stem from the demand-side of the drug trade, an approach global drug policy metrics fail to consider as they are focused on law and order. Therefore, in order for drug policy to effectively confront the world drug problem, it should recognize that the production of drugs occurs primarily within the fragile realities of rural, patriarchal, and impoverished regions.",Degree: MA,PDF file (772k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,bouhout_nouhaila.pdf 
Environmental sciences,MSc,https://tinyurl.com/envma2018,2018,22,https://sierra.ceu.edu/record=b1401928,http://www.etd.ceu.edu/2018/caimanque_daniela.pdf ,"Caimanque, Daniela Cristina",Is the distributed generation law effective? : the case of the Chilean residential solar energy / Daniela Cristina Caimanque,"Budapest : Central European University, 2018",95 p. ; 30 cm.,CEU Department of Environmental Sciences & Policy master theses ; 2018/6,English,"In Chile, the number of projects interconnected by solar photovoltaic (PV) systems under the Law 20571 - Distributed Generation has been increasing over the last years. However, it is not clear whether these improvements are desirable for a country with high irradiation for solar energy. The study aims to develop a better understanding of the deployment of residential solar energy in Chile, focusing on the Distributed Generation Law. The method chosen to pursue this objective comprises two different elements: First, a comparison of the Chilean deployment of residential solar energy with the success case of the State of California. Secondly, a Strengths, Weaknesses, Opportunities and Threats (SWOT) analysis of the Distributed Generation Law. Results show that external factors make the Law more effective than internal factors. External factors detected are: i. Decreasing cost of solar PV systems ii. International awareness about global warming and the promotion of green technologies. In contrast, an internal factor is the Net Billing scheme, because for owners of solar PV systems, the scheme is not economically attractive. Results also confirm that the development of residential solar energy in Chile is increasing, however, is spread is unequal socially and geographically. The recommendation is to transform the solar residential market in Chile in the same way as in the State of California.",Degree: MSc,PDF file (1982k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,caimanque_daniela.pdf 
