department,program,lib_link,year,thesis_in_that_year,thesis_link,pdf_link,author,title,published,description,series,language,summary,note,filetype,localnote,access,systemdet,subject,alttitle,program_sampling,flag,coder
Mathematics,PhD,http://tinyurl.com/cysrae, PhD (all years),63,https://sierra.ceu.edu/record=b1135043,http://www.etd.ceu.edu/2009/tphsea01.pdf ,"Sereny, Andras G",Some results on operator semigroups and applications to evolution problems  / Andras G Sereny,"Budapest : Central European University, 2008",74 p. ; 30 cm.,CEU Department of Mathematics PhD theses ; 2008/5,Functional analysis,English,"In this thesis we address certain questions arising in the functional analytic study of dynamical systems and differential equations. First, we discuss the operator theoretic counterparts of the central ergodic theoretical notions of strong and weak mixing. These concepts correspond to particular types of asymptotic behaviour of operator semigroups in the weak operator topology, called weak and almost weak stability. Using functional analytic tools and methods from ergodic the- ory, we describe various features of (almost) weakly stable semigroups. In particular, we show that (in the Baire category sense) typical elements in certain natural spaces of semi- groups are almost weakly but not weakly stable, thus we carry over classical theorems of Halmos and Rohlin for measure preserving transformations to the Hilbert space operator setting. Further, we illustrate operator semigroup methods and results on a class of telegraph systems with various boundary conditions. We study both linear and nonlinear boundary value problems. The stability of linear telegraph systems is discussed by applying theorems from the previous chapters. For the existence of solutions, we are particularly interested in time-dependent boundary conditions, since this case has little been investigated so far. The operator semigroup techniques applied to the case of Lipschitz continuous non- linearities are combined with estimates from the theory of monotone operators to yield well-posedness and the regularity of the solutions, also in the case of dynamic boundary conditions.",Degree: PhD,PDF file (550k),ETD,Unrestricted,Measure theory,,PhD,0,1
Medieval studies,PhD,http://tinyurl.com/c9f9lq, PhD (all years),43,https://sierra.ceu.edu/record=b1150827,http://www.etd.ceu.edu/2011/mphmin01.pdf ,"Miladinova, Nadejda",Panoplia Dogmatike : a study on the antiheretical anthology of Euthymios Zygadenos in the post-Byzantine period / Nadejda Vladimirova Miladinova,"Budapest : Central European University, 2011",316 p. ; 30 cm.,CEU Medieval Studies Department PhD theses ; 2011/3,"Byzantine Empire -- History -- Alexius I Comnenus, 1081-1118",Byzantine Empire -- Religion,English,"The thesis deals with Panoplia Dogmatike, an anthology of Patristic texts complied at the beginning of the twelfth century by the renowned Constantinopolitan theologian Euthymios Zygadenos. The creation of the anthology was personally initiated by emperor Alexios Komnenos (1081-1118) and was related with the religious politics of the Byzantine Empire. In the history of Eastern Orthodox Christianity, this anthology remained as an important contribution in the systematization of the legacy of the Church Fathers and the cannon of texts which were used in the theological debates. The text gained considerable popularity with more than Greek 150 manuscripts and translations into Old Slavonic and Latin. The Panoplia consists of 28 chapters. Each of the initial seven chapters is dedicated to an important orthodox belief, while each of the following chapters refutes a major heresy in the history of the Church from the early Christian times until the twelfth century. The text is well known to the scholars dealing with Byzantium but has remained largely unexplored because of its length and monumental tradition. This thesis represents two episodes (loosely connected) in the transmission history of the anthology. The first section situates the Panoplia in the context of early modern Europe with the publication history of the first printed edition in Greek which happened in Wallachia in 1710. The dissertation proves that this edition was initiated by the Orthodox Patriarchate of Jerusalem in relation to the proselytizing activities of the Catholics and the Protestants. The inner conflicts among the Orthodox Christians necessitated the edition and the publication was connected with the coeval Eucharistic debates, which had their origins in Western Europe but were interiorized on Orthodox soil. The second part treats one single manuscript â MS Iviron grec 281 -- which shows significant differences from the Wallachia edition and the other Panoplia manuscripts which I was able to consult. Compared to the edition, the Iviron MS omits many of the Patristic texts, but adds scholia to the fragments of Pseudo-Dionysios the Areopagite and the orations of Gregory the Theologian (Orationes 28, 29, 30, 31, 38). The present study gives a sample of these scholia: it treats the fragments of Gregory of Nazianzosâ De Theologia, Oratio 30 and In Theophania, Oratio 38 as well as the five short scholia to the Pseudo-Dionysian fragments. The sources on the scholia to the text of the Areopagite lead to Ambigua ad Thomam of Maximus the Confessor. For the rest of the scholia, I was able to identify most of them as fragments authored by Nicetas Heracleensis and Elias Cretensis, two among the most prominent commentators of the Theologian. These commentaries have remained unpublished until now.",Degree: PhD,PDF file (4846k),ETD,CEU Doctoral School of History,,PhD,0,1
Gender studies,PhD,http://tinyurl.com/zkm3x95, PhD (all years),37,https://sierra.ceu.edu/record=b1160516,http://www.etd.ceu.edu/2011/gphmid01.pdf ,"Minic, Danica",Gender sensitive journalism and television media in Serbia and Croatia  / Danica Minic,"Budapest : Central European University, 2011",385 p. ; 30 cm.,CEU Gender Studies Department PhD theses ; 2011/2,Sex differences in mass media,English,"My thesis engages with controversies in feminist media scholarship regarding the objectives of, and the possibilities for, feminist cultural politics in the mainstream media. More specifically, I examine the principles and practices of gender sensitive journalism, and the opportunities for it in the television media. I contribute to feminist media scholarship by identifying the main aspects of feminist normative ideas about gender equality in journalistic content and by offering more insight into how different factors enable or hinder feminist agency in the mainstream media. My project is also the first full-length study in the areas of gender and journalism and feminist media activism in Serbia and Croatia, and it fills a gap in gender and media research on the two countries after 2000, the year when the authoritarian regimes were ousted. I explore these developments by analyzing two main sets of data: the selected Serbian and Croatian television programmes and my interviews with their producers and feminist media activists from womenÃ¢â¬â¢s NGOs, who have tried to introduce aspects of gender sensitive journalism into the mainstream media.",Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,PDF file (2517k),PDF,Gender identity in mass media,,PhD,0,1
Political science,PhD,http://tinyurl.com/asr6lx, PhD (all years),77,https://sierra.ceu.edu/record=b1164119,http://www.etd.ceu.edu/2012/pphgas01.pdf ,"Garaz, Stela","Exploring the link between power concentration and ethnic minorities' mobilization in post Soviet Georgia, Moldova, and Ukraine / Stela Garaz","Budapest : Central European University, 2012",332 p. ; 30 cm.,CEU Political Science Department PhD theses ; 2012/1,Ethnic conflict -- Former Soviet republics,Former Sovier republics -- Ethnic relations,Minorities -- Former Soviet republics,English,"In political science literature, power concentration is dominantly viewed as a negative phenomenon that encourages strategies of confrontation and causes protest. The regimes with concentrated power are believed to be particularly dangerous for the states with deep ethnic cleavages. This latter concern is a question of great importance for the post-Soviet region, because since the collapse of the Soviet Union some of the multi-ethnic post-Soviet states had the experience of both ethnic conflicts and concentration of power. Consequently, the main goal of this research is to determine whether power concentration encourages the escalation of ethnic conflicts. For this, I explore three mechanisms that may link the degree of power concentration with ethnic minoritiesâ mobilization against the state: identity-related state policies, electoral rules, and centralization. The empirical investigation is built on the analysis of three post-Soviet cases â Georgia, Moldova, and Ukraine â based on the structured focused comparison technique. The data presented in this research reveal that the highest level of ethnic minoritiesâ mobilization against the state in the three post-Soviet republics occurred in periods with dispersed power, and not in periods with concentrated power. The research further shows that contrary to the common expectation, the reason for this was not the presumed suppressive character of concentrationist regimes over ethnic groups as citizens. Instead, the incumbent elites in the periods with power concentration combined minoritiesâ cooptation in central and local power with the enhanced control over the regional elite formation and regional access to financial resources, and in some cases, with a gradual de-politization of societal multi-ethnicity. Specifically, the leadership of concentrationist regimes tended to increase the threshold for accessing power through electoral rules with disproportional elements, which prevented the consolidation of ethnic parties and at the same time attracted minority leaders to the ruling parties. In addition, concentration of power tended to augment territorial centralization. This implied an increased control by central level political incumbents over the financial, administrative, and political affairs at regional level, which reduced local potential mobilizersâ access to mobilization resources. Finally, as the leadership of power concentration tended to implement integrationist rather than accommodationist policies towards minorities, this de-emphasized the political importance of multi-ethnicity.  The research concludes that at least in the three cases included in the analysis, concentration of power did not trigger, but it rather discouraged ethnic mobilization against the state, due to its intrinsic tendencies to increase the threshold for access to power of potential challengers and also to co-opt minority leaders, to strengthen centralization of power, and to de-politicize ethnicity. Hence, the success of concentrationist regimes in reducing minoritiesâ mobilization against the state did not consist in suppressing ethnic groups as citizens, but in hindering the formation of a self-standing ethnic minority elite. Therefore, if power concentration is to be avoided in the post-Soviet region, it should be for other reasons than for fear of ethnic instability.",Degree: PhD,PDF file (5258k),"CEU Doctoral School of Political Science, Public Policy and International Relations",,PhD,0,1
Sociology,PhD,http://tinyurl.com/kqqlj35,PhD (all years),36,https://sierra.ceu.edu/record=b1167321,http://www.etd.ceu.edu/2012/aungo_justus.pdf ,"Aungo, Justus Bw'Onderi","Development as chaos : agromanufacturing, dispossession and plantation laborers everyday in Kenya / Justus Bw'Onderi Aungo","Budapest : Central European University, 2013",268 p. ; 30 cm.,CEU Sociology Department PhD theses ; 2013/1,Kenya -- Economic conditions,Sugar plantations -- Kenya,English,"The dissertation is based on two and half years of field research in South Nyanza Sugar plantations in Kenya. It explores agromanufacturing- from the colonial period to the present-day Kenya to show the evident underlying continuity of colonial structures and contradictions characteristic of different large-scale commercial agriculture as a strategy of national and regional development across the country. By focusing on everyday lives of the plantation labourers in the South Nyanza sugarbelt, the dissertation reveals the nature and dynamic of development generally and the large scale commercial farming economy in particular as unpredictable and chaotic. What is more significant from the findings is the demonstrated acceptance, integration and accommodation of chaos into the constitutive and operational logic of the plantation economy and its development itinerary. Throughout the dissertation, the relations between the agromanufacturing complex as a structure designed for modernization intervention and the invisible everyday lives of those in its orbit are shown to be characterized by unpredictability, contradictions, differentiations, violence, deprivations and exploitative dispossession. Combined, these make lives under such development interventions insecure, disjointed, vulnerable and disorderly. My study contributes to the sociology and social anthropology of development by proposing a fresh look at development interventions as âchaotic projectsâ which produce disorder rather than smooth solutions to technical disorder. Such a look, building on works of other such as Tania Li and James Ferguson, integrates the ideas of Foucault to show how development has in effect become a series of normalizations where more attention is focused on making things seem normal rather actually transforming them. For instance, the study shows how dispossession of land, labour and employment safeguards are part of repertoire of tactics employed to enhance efficiency and productivity in the factory though they expose the plantation workers and villagers to extreme deprivation and invisibility. Furthermore, the study responds to the significant absence of a disciplinary society approach to development related research in Africa though much of the interventions are implemented as disciplinary projects. By combining Foucaultâs conception of power and the concept of chaos in studying agromanufacturing as development in Kenya, the study shows how development is not only chaotic but sustained by chaos: under development, disorder is the order. This is the central argument in the dissertation.",Degree: PhD,PDF file (2632k),ETD,Agriculture -- Economic aspects -- Kenya,,PhD,0,1
Political science,PhD,http://tinyurl.com/asr6lx, PhD (all years),77,https://sierra.ceu.edu/record=b1170202,http://www.etd.ceu.edu/2014/burlacu_diana-elena.pdf ,"Burlacu, Diana Elena","Quality of governance, political attitudes and electoral behavior / Diana Elena Burlacu","Budapest : Central European University, 2013",142 p. ; 30 cm.,CEU Political Science Department PhD theses ; 2013/3,Political psychology,Voting -- Social aspects,English,"This dissertation is an empirical study of the effects of quality of governance on citizensâ political attitudes and behavior. Previous comparative research emphasized the role of institutions in conditioning individualsâ behavior and attitudes. I argue that not only the institutional design, but also the quality of the political institutions in the country constrains citizensâ political attitudes, preferences, and decisions. I do this by examining how living in countries with different quality of governance affects peopleâs institutional trust,perceptions of representation and accountability, attitudes towards the welfare state, voting behavior, and election results both in an absolute sense and relative to the design of the political institutions. Doing so this dissertation builds on and contributes to the literature of comparative political behavior, contextual effects, and political institutions, and has substantive and normative implications for the study of electoral democracy. All of the empirical analyses are cross-national and employ multilevel analyses of data from Comparative Study of Electoral Systems and the World Value Survey, and different indicators of the quality of governance and political institutions.  After a brief introduction, I examine the implications of various aspects of good governance on individualsâ confidence in different public and political institutions. I find that some aspects of good governance have a stronger impact on institutional trust than others, but how the institutions provide judicial and bureaucratic efficiency and control of corruption clearly makes them look more or less trustworthy. I then look at the role of the quality of governance in shaping individual preferences toward income redistribution and social welfare policies, and find that bad governance leads to a remarkable inconsistency in individualsâ preferences, preferring more extensive social benefits simultaneously with less income redistribution. I investigate further whether people feel less represented and politiciansâ less accountable under bad governance in chapter four. I find that institutional design matters more for a sense of procedural representation, while good governance is more important for substantive representation. Chapter five focuses on the link between the impact of ideology, economic evaluations and partisanship on the vote on the one hand, and corruption on the other, and the implications of cultural norms for these relationships. I find that as corruption rises, ideological considerations and sympathies towards the chief executive party weigh less in votersâ decision; and while living in a country with a strong culture of corruption does not make people adopt different voting behavior, it instills a higher likelihood of voting against the incumbent. Before concluding, I test the electoral implications of good governance for incumbentâs survival in chapter six, and find that the quality of governance is as important as the economy.",Degree: PhD,PDF file (2002k),ETD,"CEU Doctoral School of Political Science, Public Policy and International Relations",,PhD,0,1
Gender studies,PhD,http://tinyurl.com/zkm3x95, PhD (all years),37,https://sierra.ceu.edu/record=b1174539,http://www.etd.ceu.edu/2013/koshulap_iryna.pdf ,"Koshulap, Iryna","Women, nation, and the generation gap : diasporic activism of the Ukrainian National Women's League of America in the post-cold war era  / Iryna Koshulap","Budapest : Central European University, 2014",210 p. ; 30 cm.,CEU Gender Studies Department PhD theses ; 2014/4,English,"The present study examines a co-formative relationship between the diasporic and womenâs activism of the Ukrainian National Womenâs League of America at the time of Ukraineâs independence. Founded in 1925, this voluntary-based non-profit organization of Ukrainian migrant women and women of Ukrainian descent has carried out philanthropic, educational, and cultural activities along with political protests and lobbying, taking a recognized place among organizations of the Ukrainian diaspora in the United States. Having been a womenâs organization in the Ukrainian diaspora and an ethnic organization in American and international womenâs movements from its inception, the UNWLA often considered its participation in international womenâs forums instrumental in promoting the cause of Ukraineâs sovereignty. Instead of withdrawing from this arena in the early years of Ukraineâs independence, however, the UNWLA started to adopt the womenâs rights and equality discourses for generating relations with the state and non-state actors in Ukraine and for conceptualizing a vision for the organizationâs future. Drawing on fieldwork findings from the New York City branches of the organization, I argue that the current shift in the UNWLAâs relation to womenâs rights movement has been triggered not only by the changes in the political status of their homeland, but also by the generational shift in the UNWLA membership as well as by the growing currency of womenâs rights discourses in the international politics.",Degree: PhD,PDF,ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,PhD,0,1
Environmental sciences,PhD,http://tinyurl.com/cd675h,PhD (all years),48,https://sierra.ceu.edu/record=b1180417,http://www.etd.ceu.edu/2015/harutyunyan_naira.pdf ,"Harutyunyan, Naira Samvel",Transition from public to private provision of public services : the case of water sector in Armenia / Naira Samvel Harutyunyan,"Budapest : Central European University, 2015",368 p. ; 30 cm.,CEU Department of Environmental Sciences & Policy PhD theses;   2015/5,Environmental management,English,Environmental economics,Business,Degree: PhD,PDF file (7718k),"Recent water policy reforms worldwide are highlighted with an emphasized role of the private sector participation in provision of water services with prospects for enhancing sustainable development through water resource and service management strategies. The present PhD research aims to investigate the process and impacts of transition from public to private provision of water services in Armenia and to explore the aspects of the supply side on the level of water utility performance and the demand side on the level of end-users (households) ensuring proper consideration of social and environmental demands and legal and institutional implications. In particular, the empirical research focuses on the effects of governance modes on the sustainability performance of water utilities currently operating in Armenia under various forms of public-private partnerships. The analysis explores the directional, magnitude and evolution impacts of water privatization in Armenia along sustainability dimensions: environmental, social, and economic performance. Next, the research is focusing on the impacts of water privatization on households (water access and consumption profile, service quality, coping strategies, etc.). The research also seeks to examine the structural and process changes in the water sector as an aggregate mechanism of policies, legal and regulatory procedures, organizational structures, financing and impact mitigation mechanisms. The research is based on the mixed method approach with the application of several methodological tools. The major methodological components include ex-post benchmarking method, conversational/stakeholder interviewing, document analysis, and the household survey  bottom-up participatory approach that puts people at the core of the research. Research results show that intensive marketization trends with related structural changes reinforced privatization in public services. Conditional technical and financial support from donor institutions and urgency dictated by the deteriorating infrastructure made privatization a âno other optionâ. Even under the âforcedâ conditions, transition to the public-private provision of water services in Armenia had a positive influence on the sustainability performance of all water utilities. Armenian utilities also succeed in performing well internationally. However, the scale of impact of privatization depends on the initial state of the enterprise and the local context. Supportive legislation and regulation is needed for ensuring the attractiveness and incentives for the private sector participation and operation and for protecting consumers from monopoly abuse. Furthermore, although water supply services have been improved and people are generally satisfied with water services, there are still a number of service deficiencies that households face and try to cope with by implementing a number of measures that require additional costs and/or behavioural changes. Finally, after the high return and low risk low hanging fruits are reached during the first generation reforms to meet the most urgent needs, more efforts are required for enhancing long-term sustainability and effectiveness.",Water supply -- Armenia,,PhD,0,1
Medieval studies,PhD,http://tinyurl.com/c9f9lq, PhD (all years),43,https://sierra.ceu.edu/record=b1204418,http://www.etd.ceu.edu/2017/orban_aron.pdf ,"OrbÃ¡n, Ãron",Born for Phoebus : solar-astral symbolism and poetical self-representation in Conrad Celtis and his humanist circles  / Ãron OrbÃ¡n,"Budapest : Central European University, 2017",304 p. ; 30 cm.,CEU Medieval Studies Department PhD theses ; 2017/2,CEU Doctoral School of History,DOI: 10.14754/CEU.2017.01,"Fifteenth-sixteenth-century Germany â and Renaissance Europe in general â witnessed a growing interest in natural philosophy (including occult disciplines), the laws of nature, and the correspondences between micro- and macrocosm. On the other hand, the enhanced self-consciousness or even pride of the Renaissance author compared to that of the earlier medieval one is a long established commonplace; indeed, humanist poets were inclined, in varying degrees, to self-fashioning, self-mythologizing. My interdisciplinary study focuses on the junction of these two basic habits of mind of German humanists around 1500. I reveal solar and astral (mainly astrological) symbolism in Neo-Latin poetical works and visual artworks of this period, and investigate how this cosmic symbolism was used for self-representative purposes. Among the German humanists I focus on Conrad Celtis (1459-1508), the ââarch-humanistâ of Germany, the first poet laureate of his nation, the ""bringer of the muses"" to the German land. Celtis's personality, poetic talent, ambition, scientific-philosophical interests, his assumed role â all this resulted in various interesting ways of ""cosmic"" self-representation; I argue that this is a core area of his whole poetical oeuvre. In the investigated period of German humanism (c. 1485-1510), some other poets who were friends of Celtis also employed astronomical, astrological, cosmological imagery in the construction of their (or the group's) humanist identities, in various ways, to various extent: Jakob Locher, Laurentius Corvinus (Rabe), Johannes Tolhopf, Augustinus Moravus; I involve in my research representative works of these authors, too. The first chapter reviews the poetological background of the enhanced vates-ideology of the German humanists: the humanist revaluation of poetry in the Renaissance and the ââdefense of poetryâ tradition. The second chapter overviews Celtisâs ideas about astronomy-astrology, micro- and macrocosm in general. Chapters 3-6 explore Celtisâs and his firendsâ strategies of ââcosmicâ self-representation through analyses of specific works. Humanists could support their vates-role by means of their (idealized) birth horoscope or the horoscope of laureation (ch. 3-4); or they could develop a complex Phoebean symbolism based on Phoebus, the solar god who supports the poet in various ways (ch. 5). Humanist group-identity could be strengthened through a Phoebean-Bacchic symbolism and the mythologizing of humanist feasts (ch. 6).",Degree: PhD,PDF file (9848k),ETD,Unrestricted,,,PhD,0,1
Environmental sciences,PhD,http://tinyurl.com/cd675h,PhD (all years),48,https://sierra.ceu.edu/record=b1246111,http://www.etd.ceu.edu/2016/winter_amanda.pdf ,"Winter, Amanda Kay",Contested sustainability and the environmental politics of green city making / Amanda Kay Winter,"Budapest : Central European University, 2016",266 p. ; 30 cm.,CEU Department of Environmental Sciences & Policy PhD theses;   2016/4,Urban planning,Architecture,Environmental policy,Sustainable development,English,Degree: PhD,PDF file (5308k),City planning,,PhD,0,1
